"성분AS","성분C","성분B","성분CA","성분CU","성분CR","성분MO","성분MN","성분N","성분P","성분S","성분TOTALAL","성분SOLAL","재료번호","성분V"
0.004,0.0022,0,0,0.021,0.02,0,0.098,18,0.0091,0.0031,0.031,0.028,"HQF159360",0.001
0.006,0.0297,0,1,0.02,0.02,0,0.281,20,0.0198,0.0039,0.023,0.021,"HQB034600",0.001
0.005,0.0021,0,3,0.011,0.02,0,0.06,15,0.0064,0.0027,0.028,0.027,"HQA029620",0.002
0.006,0.0015,5,0,0.057,0.02,0,0.2,19,0.0456,0.0088,0.034,0.033,"HQA067760",0
0.006,0.019,0,0,0.028,0.03,0,0.2,19,0.01,0.0036,0.021,0.021,"HQD041980",0
0.005,0.0017,0,0,0.017,0.05,0.02,0.141,13,0.0517,0.0057,0.025,0.024,"HQC114990",0
0.007,0.0017,0,1,0.098,0.02,0,0.138,19,0.019,0.0096,0.033,0.031,"HQY125400",0
0.005,0.0364,0,0,0.016,0.02,0,0.185,25,0.0094,0.0027,0.032,0.031,"HQE103090",0.001
0.006,0.0016,0,0,0.013,0.01,0,0.095,14,0.0094,0.0031,0.023,0.021,"HQB003630",0.001
0.005,0.0021,0,0,0.023,0.06,0.01,0.145,21,0.0518,0.0047,0.029,0.028,"HQZ124250",0
0.005,0.0466,0,0,0.03,0.02,0,0.192,19,0.0076,0.0033,0.028,0.027,"HQC030840",0
0.006,0.1568,1,3,0.01,0.02,0,0.806,37,0.0094,0.002,0.039,0.038,"HQE110830",0.001
0.006,0.0428,0,0,0.009,0.02,0,0.197,21,0.0094,0.0037,0.028,0.028,"HQC087670",0
0.004,0.0018,0,0,0.015,0.02,0,0.101,16,0.0099,0.0031,0.034,0.032,"HQJ118160",0.001
0.006,0.0387,12,1,0.021,0.02,0,0.204,19,0.0077,0.0037,0.023,0.022,"HQB057350",0
0.004,0.066,0,0,0.03,0.02,0,0.492,28,0.0101,0.0034,0.043,0.041,"HQJ005160",0
0.004,0.0015,0,0,0.016,0.02,0,0.061,16,0.0095,0.0034,0.033,0.03,"HQJ114890",0.002
0.005,0.0017,0,0,0.019,0.02,0,0.085,13,0.0094,0.0037,0.028,0.028,"HQF159310",0.001
0.005,0.0469,0,1,0.017,0.02,0,0.29,26,0.0086,0.0032,0.033,0.032,"HQY011260",0
0.006,0.0016,0,0,0.022,0.06,0.02,0.143,17,0.048,0.0041,0.022,0.021,"HQB083340",0
0.007,0.0186,0,0,0.011,0.02,0,0.205,14,0.0076,0.0038,0.021,0.02,"HQY126950",0
0.004,0.0016,4,16,0.052,0.02,0,0.21,16,0.0464,0.0093,0.043,0.041,"HQH111640",0.001
0.006,0.0023,0,0,0.092,0.02,0,0.155,18,0.0189,0.0098,0.03,0.028,"HQY008160",0
0.007,0.0021,0,0,0.019,0.02,0,0.07,17,0.0087,0.0033,0.027,0.026,"HQA135340",0.002
0.006,0.0021,0,0,0.013,0.02,0,0.147,13,0.0098,0.0032,0.03,0.029,"HQF067880",0.002
0.005,0.0762,4,0,0.014,0.02,0,0.905,36,0.0182,0.0028,0.024,0.024,"HQC088740",0.002
0.005,0.0573,0,0,0.018,0.01,0,0.354,30,0.0064,0.0023,0.04,0.038,"HQF013210",0
0.004,0.0394,0,0,0.013,0.02,0,0.21,17,0.0083,0.0034,0.027,0.026,"HQE138680",0
0.005,0.0019,0,0,0.012,0.02,0,0.1,14,0.0088,0.0032,0.032,0.03,"HQZ138800",0.001
0.007,0.0022,0,0,0.018,0.02,0,0.094,17,0.0091,0.0037,0.028,0.027,"HQY124360",0.001
0.006,0.0186,0,1,0.02,0.03,0,0.179,17,0.0089,0.004,0.017,0.016,"HQE076900",0
0.005,0.0019,0,0,0.012,0.02,0,0.1,14,0.0088,0.0032,0.032,0.03,"HQZ138740",0.001
0.006,0.0018,0,0,0.019,0.02,0,0.094,16,0.0097,0.0034,0.024,0.023,"HQA006070",0.001
0.006,0.0371,0,0,0.019,0.02,0,0.219,24,0.0074,0.0036,0.02,0.018,"HQY021470",0
0.005,0.0016,0,0,0.01,0.02,0,0.077,16,0.0095,0.0028,0.036,0.035,"HQF029490",0.002
0.005,0.0024,0,1,0.009,0.05,0.02,0.144,12,0.0506,0.0041,0.032,0.031,"HQD085680",0
0.006,0.0378,0,1,0.01,0.01,0,0.149,23,0.0074,0.0023,0.028,0.026,"HQD011640",0
0.005,0.0022,0,1,0.02,0.02,0,0.136,18,0.0094,0.0041,0.033,0.031,"HQX162950",0.002
0.007,0.0018,1,0,0.011,0.02,0,0.136,13,0.0099,0.0032,0.022,0.021,"HQA084570",0.002
0.007,0.0022,0,1,0.012,0.02,0,0.072,19,0.0086,0.0035,0.026,0.025,"HQB109860",0.002
0.006,0.0334,0,0,0.015,0.02,0,0.181,14,0.0095,0.0023,0.022,0.019,"HQA149060",0
0.006,0.0016,0,1,0.009,0.02,0,0.085,17,0.0103,0.0031,0.024,0.022,"HQY157080",0.001
0.006,0.0373,0,0,0.02,0.03,0,0.125,22,0.0085,0.0035,0.022,0.021,"HQA034260",0
0.006,0.1153,0,0,0.024,0.02,0,0.454,34,0.0079,0.0029,0.016,0.015,"HQB113310",0
0.008,0.038,0,0,0.01,0.01,0,0.19,13,0.0051,0.0037,0.027,0.026,"HQD046600",0
0.005,0.0044,10,1,0.098,0.02,0.06,0.571,21,0.0831,0.0103,0.046,0.045,"HQF101190",0.002
0.005,0.0022,0,0,0.011,0.02,0,0.092,15,0.0101,0.0031,0.026,0.026,"HQF012560",0.001
0.005,0.0585,0,0,0.01,0.01,0,0.342,28,0.0076,0.0033,0.036,0.034,"HQE058240",0.001
0.005,0.039,0,1,0.012,0.01,0,0.191,21,0.0075,0.0035,0.032,0.03,"HQF066640",0
0.004,0.0018,0,3,0.018,0.02,0,0.101,12,0.012,0.0039,0.028,0.026,"HQH040900",0.001
0.006,0.0432,0,0,0.011,0.02,0,0.225,17,0.0069,0.0033,0.022,0.02,"HQC108610",0
0.005,0.0378,0,0,0.012,0.02,0,0.21,22,0.0079,0.0033,0.021,0.02,"HQZ144590",0
0.006,0.1416,0,0,0.017,0.02,0,0.873,39,0.013,0.0028,0.021,0.019,"HQY091510",0.001
0.005,0.0013,0,1,0.011,0.05,0.02,0.133,14,0.0507,0.0031,0.026,0.025,"HQD140950",0
0.005,0.0357,0,0,0.012,0.02,0,0.184,11,0.0103,0.003,0.021,0.02,"HQG027120",0
0.006,0.0586,0,0,0.023,0.02,0,0.772,33,0.0086,0.0026,0.028,0.027,"HQB009870",0
