"SLAB번호","정정_장입LT","전저장위치코드","발지야드포인트","스카핑여부","품명","롤단위지정구분","월구분","정정_압연작업지시LT","장입온도"
"SQ76180 551",11.6,"3GB","4C",1,"FH",,8,-0.8,168
"SQ63757 551",16.1,"5GG","4C",0,"HGI","F",3,4.6,279
"SQ55666 541",15.9,"5GG","5A",0,"HR",,12,3,276
"SQ52661 521",16.3,"3GB","5A",1,"HR","B",11,3.6,177
"SQ66836 541",4.8,"3GB","5A",1,"GI","F",4,-2.8,199
"SQ73228 551",4.4,"3GB","5A",1,"CR",,7,-1.9,252
"SQ59035 031",13.6,"3GB","5A",0,"PO","D",2,1.4,228
"SQ56019 031",3.3,"3GB","5A",1,"PO","F",12,-8.6,232
"SQ67750 511",17.2,"3GB","4C",0,"HR",,5,5,276
"SQ72062 551",18.6,"5GG","5A",0,"HR",,6,12,250
"SQ59054 531",14.2,"5GG","5A",0,"PO","B",2,-0.4,298
"SQ72438 011",12.8,"3GB","4C",1,"PO","F",6,0.5,194
"SQ65136 011",13.6,"5GG","5A",0,"CR",,4,3.3,290
"SQ58241 041",9.9,"3GB","5A",0,"HR","B",1,-3.8,273
"SQ80781 511",11,"3GB","5A",1,"HR","F",9,-0.3,237
"SQ74104 521",17.6,"5GG","5A",0,"PO","D",7,8,232
"SQ74305 041",6.8,"3GB","5A",1,"HR","F",7,-1.9,299
"SQ70863 031",11.6,"3GB","4C",1,"HR",,6,6.8,157
"SQ80880 531",16.7,"5GG","5A",0,"CR",,9,2.2,207
"SQ64625 031",18.3,"5GG","5A",0,"BP",,4,8.4,274
"SQ68217 531",12.9,"3GB","4C",1,"EG","F",5,5.3,242
"SQ73223 031",4.3,"3GB","5A",1,"CR",,7,-1.9,185
"SQ69627 011",13.7,"5GG","5A",0,"CR",,5,5.4,236
"SQ74002 521",7.6,"3GB","5A",1,"CR",,7,0.6,2283
"SQ51990 541",9.3,"3GB","5A",1,"GI","F",11,-0.8,233
"SQ74773 051",19.1,"5GG","5A",0,"HR","F",7,7.1,133
"SQ61258 011",10.4,"5GG","4C",1,"HR",,2,-1.4,276
